desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908596_s.jpg,2022-08-18,제주시 이도이동 신설로2길5-14,[고양이] 샴,진갈색,2020(년생),3.6(Kg),제주-제주-2022-03024,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908596.jpg,보호중,M,N,개체관리번호 22502 - 경계심,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908882_s[1].jpg,2022-08-18,제주시 이도이동 신설로2길5-14,[고양이] 샴,진갈색,2020(년생),3.5(Kg),제주-제주-2022-03023,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908882.jpg,보호중,M,N,개체관리번호 22501 - 경계심,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908882_s.jpg,2022-08-18,제주시 한림읍 농공단지 근처,[고양이] 한국 고양이,태비,2022(년생),0.2(Kg),제주-제주-2022-03022,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908882.jpeg,보호중,M,N,개체관리번호 22500 - 3주/이유식후분양,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908186_s.jpg,2022-08-18,제주시 한림읍 농공단지 근처,[고양이] 한국 고양이,태비,2022(년생),0.2(Kg),제주-제주-2022-03021,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908186.jpeg,보호중,F,N,개체관리번호 22499 - 3주/이유식후분양,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908576_s.jpg,2022-08-18,제주시 구좌읍 평대 2길 42,[개] 믹스견,흰색,2019(년생),20(Kg),제주-제주-2022-03020,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908576.jpg,종료(자연사),M,N,개체관리번호 2653 - 녹노목줄/경계심,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908734_s.jpg,2022-08-18,제주시 구좌읍 덕평로 46,[개] 믹스견,흰색,2022(년생),1.5(Kg),제주-제주-2022-03019,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908734.jpg,보호중,F,N,개체관리번호 2652 - 1개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908435_s.jpg,2022-08-18,제주시 구좌읍 덕평로 46,[개] 믹스견,흰색,2022(년생),1.6(Kg),제주-제주-2022-03018,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908435.jpg,보호중,F,N,개체관리번호 2651 - 1개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908183_s.jpg,2022-08-18,제주시 봉개동 번영로 386 현앤수빌리지 105동 405호,[개] 시츄,흰갈,2011(년생),3.5(Kg),제주-제주-2022-03017,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908183.jpg,보호중,F,N,개체관리번호 2650,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908560_s.jpg,2022-08-18,제주시 애월읍 산록서로 81,[개] 믹스견,갈색,2022(년생),2.6(Kg),제주-제주-2022-03016,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908560.jpg,보호중,M,N,개체관리번호 2649 - 3개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908992_s.jpg,2022-08-18,서귀포시 대정읍 보성리 933,[개] 믹스견,갈색,2021(년생),17(Kg),제주-제주-2022-03015,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908992.jpg,보호중,M,N,개체관리번호 2648 - 빨파목줄,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908217_s.jpg,2022-08-18,서귀포시 성산읍 신천로 23번길 10,[개] 믹스견,갈색,2022(년생),4(Kg),제주-제주-2022-03014,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908217.jpg,보호중,F,N,개체관리번호 2647 - 3개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908731_s.jpg,2022-08-18,서귀포시 토평동 검은여로 129번길 12,[개] 믹스견,갈색,2020(년생),13(Kg),제주-제주-2022-03013,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908731.jpg,보호중,M,N,개체관리번호 2646 - 심장사상충/파빨목줄,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908234_s.jpg,2022-08-18,서귀포시 성산읍 고성리 9,[개] 믹스견,검정,2021(년생),11.8(Kg),제주-제주-2022-03012,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908234.jpg,보호중,F,N,개체관리번호 2645 - 빨파목줄,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908455_s.jpg,2022-08-18,서귀포시 남원읍 한남리 산 83,[개] 믹스견,흰갈,2022(년생),1.1(Kg),제주-제주-2022-03011,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908455.jpg,보호중,M,N,개체관리번호 2644 - 1개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
450650000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908721_s.jpg,2022-08-18,서귀포시 강정동 중산간서로 261-2,[개] 보더 콜리,흰검,2022(년생),8.5(Kg),제주-제주-2022-03010,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908721.jpg,종료(반환),F,N,개체관리번호 2641 - 7개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,,,,,
448547000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190808296_s.jpg,2022-08-18,웅양면 군암리 694-1,[개] 믹스견,"검정, 흑갈색",2021(년생),22(Kg),경남-거창-2022-00246,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190808296.jpg,종료(반환),M,N,"하네스 착용, 경계 심함",거창유기동물보호센터,055-945-6500,경상남도 거창군 남상면 수남로 1934-12,경상남도 거창군,거창군,055-940-8140,,,,,
448545000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191108112_s.jpg,2022-08-18,산청군 금서면 특리 95-6 주변 논두렁,[개] 믹스견,흰색,2016(년생),3.8(Kg),경남-산청-2022-00090,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191108112.jpg,보호중,F,N,"구조시 목줄없음, 앞다리 절단상태",산청동물보호센터,010-2050-8577,경상남도 산청군 산청읍 친환경로 2783-25 (산청읍),경상남도 산청군,백종수,055-970-7844,,,,,
448544000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191008943_s.jpg,2022-08-18,경남 하동군 횡천면 경서대로 1175-3,[개] 믹스견,갈색,2020(년생),6.2(Kg),경남-하동-2022-00218,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191008943.png,보호중,M,N,사람을 피함,하동군유기동물보호소,055-880-2677,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소,경상남도 하동군,하동군,055-880-2677,,,,,
448544000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908544_s.jpg,2022-08-18,경상남도 하동군 옥종면 옥수로 180-16,[개] 믹스견,흰색,2022(년생),2.5(Kg),경남-하동-2022-00217,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908544.png,보호중,F,N,순함,하동군유기동물보호소,055-880-2677,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소,경상남도 하동군,하동군,055-880-2677,,,,,
448544000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908519_s.jpg,2022-08-18,경상남도 하동군 옥종면 옥수로 180-16,[개] 믹스견,연갈색,2022(년생),2.6(Kg),경남-하동-2022-00216,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908519.png,보호중,M,N,순함,하동군유기동물보호소,055-880-2677,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소,경상남도 하동군,하동군,055-880-2677,,,,,
448544000000000,http://www.animal.go.kr/files/shelter/2022/08/20220819090861_s.jpg,2022-08-18,경상남도 하동군 옥종면 옥수로 180-16,[개] 믹스견,흰색,2022(년생),2.6(Kg),경남-하동-2022-00215,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/20220819090861.png,보호중,M,N,순함,하동군유기동물보호소,055-880-2677,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소,경상남도 하동군,하동군,055-880-2677,,,,,
448544000000000,http://www.animal.go.kr/files/shelter/2022/08/202208190908674_s.jpg,2022-08-18,경상남도 하동군 옥종면 옥수로 180-16,[개] 믹스견,흰색,2022(년생),2.5(Kg),경남-하동-2022-00214,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208190908674.png,보호중,M,N,순함,하동군유기동물보호소,055-880-2677,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소,경상남도 하동군,하동군,055-880-2677,,,,,
448538000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191808232_s.jpg,2022-08-18,하북면용연로48,[개] 포메라니안,흰색,2012(년생),4.2(Kg),경남-양산-2022-00192,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191808232.jpg,종료(반환),F,U,흰색 가슴물혹,양산시 동물보호센터,055-392-5669,경상남도 양산시 동면 석산리 392 양산시농업기술센터,경상남도 양산시,양산시,055-392-5663,,,,,
448537000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191108284_s.jpg,2022-08-18,장승포 여객터미널 근처,[개] 믹스견,흰색.검정,2019(년생),23(Kg),경남-거제-2022-00840,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191108284.jpg,종료(반환),M,N,순함,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,김부근,055-639-6366,,,,,
448536000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191108942_s.jpg,2022-08-18,삼랑진,[개] 페키니즈,화이트,2021(년생),5(Kg),경남-밀양-2022-01286,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191108942.jpg,보호중,M,N,사람을 좋아하는 예쁜 아이/ 온순,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,,,,,
448536000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191108952_s.jpg,2022-08-18,산내,[개] 믹스견,화이트,2021(년생),5(Kg),경남-밀양-2022-01285,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191108952.jpg,보호중,F,N,귀가 쫑긋하고 귀여운 아이/ 온순,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,,,,,
448536000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191008604_s.jpg,2022-08-18,산외,[개] 믹스견,화이트,2022(년생),4(Kg),경남-밀양-2022-01284,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191008604.jpg,보호중,F,N,귀엽고 순한 강아지,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,,,,,
448536000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191008124[1]_s.jpg,2022-08-18,단장,[개] 믹스견,블랙&브라운&화이트,2022(년생),3(Kg),경남-밀양-2022-01283,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191008124[1].jpg,보호중,F,N,두마리 함께 구조 귀엽고 순한 아이/방울달린 붉은색 목줄 착용,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,,,,,
448536000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191008122_s.jpg,2022-08-18,단장,[개] 믹스견,갈색&백색,2020(년생),6(Kg),경남-밀양-2022-01282,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191008122.jpg,보호중,F,N,두마리 함께 구조 귀엽고 순한 아이,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,,,,,
448536000000000,http://www.animal.go.kr/files/shelter/2022/08/20220819100841_s.jpg,2022-08-18,산내,[개] 믹스견,블랙&브라운,2021(년생),8(Kg),경남-밀양-2022-01281,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/20220819100841.jpg,보호중,M,N,머즐이 길고  단모종의 아이,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,,,,,
448535000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191508442_s.jpg,2022-08-18,번화1로8,[고양이] 한국 고양이,"검정,회색",2022(년생),0.5(Kg),경남-김해-2022-01021,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191508442.jpeg,보호중,Q,U,"2-328, 3개월미만 추정, 심각한 안질환, 콧물증상, 허피스 의심",부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),경상남도 김해시,김해시,055-350-4133,,,,,
448535000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191508929_s.jpg,2022-08-18,계동로102번길 17-31,[고양이] 한국 고양이,황색,2022(년생),0.45(Kg),경남-김해-2022-01020,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191508929.jpeg,보호중,Q,U,"2-327, 3개월 미만, 2두 동시입소, 약간의 안질환, 영양상태 부족",부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),경상남도 김해시,김해시,055-350-4133,,,,,
448535000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191408909_s.jpg,2022-08-18,계동로102번길 17-31,[고양이] 한국 고양이,황색,2022(년생),0.45(Kg),경남-김해-2022-01019,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191408909.jpeg,보호중,Q,U,"2-326, 3개월 미만, 2두 동시입소, 약간의 안질환, 영양상태 부족",부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),경상남도 김해시,김해시,055-350-4133,,,,,
448535000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191408601_s.jpg,2022-08-18,구지로112번길 19-17,[개] 닥스훈트,황색,2020(년생),4(Kg),경남-김해-2022-01018,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191408601.jpeg,보호중,M,U,"1-669, 활발함, 사람을 좋아함, 짧은 다리가 매력적",부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),경상남도 김해시,김해시,055-350-4133,,,,,
448535000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191408370_s.jpg,2022-08-18,김해대로2355번길 21,[개] 라브라도 리트리버,검정,2014(년생),25(Kg),경남-김해-2022-01017,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191408370.jpeg,보호중,M,U,"1-668, 온순하고 다부진몸매, 약간의 눈꼽이 낌, 침을 많이 흘림",부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),경상남도 김해시,김해시,055-350-4133,,,,,
448533000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191408594_s.jpg,2022-08-18,연명2길 16-3,[고양이] 믹스묘,"검정색, 흰색",2022(년생),0.29(Kg),경남-통영-2022-00313,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191408594.jpg,보호중,F,N,생후 1.5개월 추정(22.08.18.기준),통영시동물보호센터,055-650-6253,경상남도 통영시 광도면 전두1길 9-8,경상남도 통영시,최민정,055-650-6254,,,,,
448533000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191408773_s.jpg,2022-08-18,연명2길 16-3,[고양이] 믹스묘,"갈색, 흰색",2022(년생),0.38(Kg),경남-통영-2022-00312,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191408773.jpg,보호중,M,N,생후 1.5개월 추정(22.08.18.기준),통영시동물보호센터,055-650-6253,경상남도 통영시 광도면 전두1길 9-8,경상남도 통영시,최민정,055-650-6254,,,,,
448533000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191308257_s.jpg,2022-08-18,연명2길 16-3,[고양이] 믹스묘,"검정색, 흰색",2022(년생),0.39(Kg),경남-통영-2022-00311,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191308257.jpg,보호중,M,N,생후 1.5개월 추정(22.08.18.기준),통영시동물보호센터,055-650-6253,경상남도 통영시 광도면 전두1길 9-8,경상남도 통영시,최민정,055-650-6254,,,,,
448533000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191308684[1]_s.jpg,2022-08-18,연명2길 16-3,[고양이] 믹스묘,"갈색, 흰색, 검정색",2022(년생),0.32(Kg),경남-통영-2022-00310,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191308684[1].jpg,보호중,F,N,생후 1.5개월 추정(22.08.18.기준),통영시동물보호센터,055-650-6253,경상남도 통영시 광도면 전두1길 9-8,경상남도 통영시,최민정,055-650-6254,,,,,
447522000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191308248_s.jpg,2022-08-18,지천면상납실9,[개] 믹스견,갈색,2022(년생),3.3(Kg),경북-칠곡-2022-00233,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191308248.jpg,보호중,F,N,유기견새끼 신고자90일보호 코에짜장묻은이쁜아이 공고중입양가능,칠곡유기동물보호센터,054-973-5710,경상북도 칠곡군 석적읍 포망로 341 (석적읍),경상북도 칠곡군,동물보호담당,054-979-6493,,,,,
447522000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191308421_s.jpg,2022-08-18,지천면상납실9,[개] 믹스견,갈색,2022(년생),3.3(Kg),경북-칠곡-2022-00232,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191308421.jpg,보호중,F,N,유기견새끼 신고자90일보호귀가커고 얼굴작고가슴흰털,칠곡유기동물보호센터,054-973-5710,경상북도 칠곡군 석적읍 포망로 341 (석적읍),경상북도 칠곡군,동물보호담당,054-979-6493,,,,,
447522000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191308661_s.jpg,2022-08-18,지천면상납실9,[개] 믹스견,갈색,2022(년생),3.3(Kg),경북-칠곡-2022-00231,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191308661.jpg,보호중,F,N,유기견새끼 신고자90일보호가슴에흰털코에짜장묻은아이,칠곡유기동물보호센터,054-973-5710,경상북도 칠곡군 석적읍 포망로 341 (석적읍),경상북도 칠곡군,동물보호담당,054-979-6493,,,,,
447522000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191308983_s.jpg,2022-08-18,지천면상납실9,[개] 믹스견,베이지,2022(년생),3.3(Kg),경북-칠곡-2022-00230,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191308983.jpg,보호중,M,N,유기견새끼 신고자90일보호 털이풍성한 이쁜아이 공고중입양가능,칠곡유기동물보호센터,054-973-5710,경상북도 칠곡군 석적읍 포망로 341 (석적읍),경상북도 칠곡군,동물보호담당,054-979-6493,,,,,
446494000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191308648[1]_s.jpg,2022-08-18,미암면 신정마을회관 주변,[개] 믹스견,흰색,2019(년생),8(Kg),전남-영암-2022-00324,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191308648[1].png,보호중,F,N,겁이 많으며 소심함,유기동물 삼호 보호소,010-9599-5400,전라남도 영암군 삼호읍 녹색로 1117-49 (삼호읍) 영암유기동물 삼호보호소,전라남도 영암군,영암군청,061-470-2506,,,,,
446494000000000,http://www.animal.go.kr/files/shelter/2022/08/202208191308648_s.jpg,2022-08-18,세한대학교 주변,[개] 동경견,흰색,2020(년생),15(Kg),전남-영암-2022-00323,2022-08-19,2022-08-29,http://www.animal.go.kr/files/shelter/2022/08/202208191308648.png,보호중,M,N,애교가 많으며 빨간 목줄을 착용중이다,유기동물 삼호 보호소,010-9599-5400,전라남도 영암군 삼호읍 녹색로 1117-49 (삼호읍) 영암유기동물 삼호보호소,전라남도 영암군,영암군청,061-470-2506,,,,,
