desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeSdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel
441400202200306,http://www.animal.go.kr/files/shelter/2022/07/202208011508554_s.jpg,2022-08-01,원동119-129,[고양이] 한국 고양이,치즈,2022(년생),0.40(Kg),경기-오산-2022-00147,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011508554.jpg,종료(자연사),F,N,식욕결핍,오산 유기동물보호소,031-372-9325,경기도 오산시 성호대로 36 (오산동),경기도 오산시,김세연,031-8036-7643
441400202200305,http://www.animal.go.kr/files/shelter/2022/07/202208011508614_s.jpg,2022-08-01,성호대로141,[개] 믹스견,갈색,2022(년생),2.1(Kg),경기-오산-2022-00146,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011508614.jpg,보호중,M,N,"들개자견,전신 피부병 심함",오산 유기동물보호소,031-372-9325,경기도 오산시 성호대로 36 (오산동),경기도 오산시,김세연,031-8036-7643
441400202200304,http://www.animal.go.kr/files/shelter/2022/07/202208011508240_s.jpg,2022-08-01,성호대로141,[개] 믹스견,갈색,2022(년생),2.5(Kg),경기-오산-2022-00145,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011508240.jpg,보호중,M,N,"들개자견,전신 피부병 심함",오산 유기동물보호소,031-372-9325,경기도 오산시 성호대로 36 (오산동),경기도 오산시,김세연,031-8036-7643
441400202200303,http://www.animal.go.kr/files/shelter/2022/07/202208011408234_s.jpg,2022-08-01,지곶동120-12,[개] 믹스견,갈색,2017(년생),9(Kg),경기-오산-2022-00144,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011408234.jpg,보호중,F,U,"들개,포획틀 설치하여 포획함",오산 유기동물보호소,031-372-9325,경기도 오산시 성호대로 36 (오산동),경기도 오산시,김세연,031-8036-7643
441400202200302,http://www.animal.go.kr/files/shelter/2022/07/20220801100806_s.jpg,2022-08-01,성호대로141,[개] 믹스견,백색,2017(년생),15(Kg),경기-오산-2022-00143,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/20220801100806.jpg,보호중,M,N,목줄없음,오산 유기동물보호소,031-372-9325,경기도 오산시 성호대로 36 (오산동),경기도 오산시,김세연,031-8036-7643
441399202201737,http://www.animal.go.kr/files/shelter/2022/07/202208011908814_s.jpg,2022-08-01,수동면,[개] 믹스견,흑갈색,2021(년생),6.5(Kg),경기-남양주-2022-00856,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011908814.jpg,종료(안락사),M,N,연두색 하네스을 착용함.,남양주동물보호협회,031-591-7270,"경기도 남양주시 금곡로 44 (금곡동, 성원빌딩) 1층",경기도 남양주시,남양주시,031-590-3991
441399202201736,http://www.animal.go.kr/files/shelter/2022/07/202208011908332_s.jpg,2022-08-01,조안면,[개] 믹스견,갈색,2018(년생),12.0(Kg),경기-남양주-2022-00855,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011908332.jpg,종료(안락사),F,U,피부병이 심함.,남양주동물보호협회,031-591-7270,"경기도 남양주시 금곡로 44 (금곡동, 성원빌딩) 1층",경기도 남양주시,남양주시,031-590-3991
441399202201735,http://www.animal.go.kr/files/shelter/2022/07/202208011908316_s.jpg,2022-08-01,조안면,[개] 믹스견,갈색,2018(년생),4.9(Kg),경기-남양주-2022-00854,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011908316.jpg,보호중,M,N,목줄없고 온순함.,남양주동물보호협회,031-591-7270,"경기도 남양주시 금곡로 44 (금곡동, 성원빌딩) 1층",경기도 남양주시,남양주시,031-590-3991
441399202201734,http://www.animal.go.kr/files/shelter/2022/07/202208011908979_s.jpg,2022-08-01,화도읍,[개] 스피츠,흰색,2019(년생),7.5(Kg),경기-남양주-2022-00853,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011908979.jpg,종료(반환),M,N,목줄없고 온순함.,남양주동물보호협회,031-591-7270,"경기도 남양주시 금곡로 44 (금곡동, 성원빌딩) 1층",경기도 남양주시,남양주시,031-590-3991
441399202201733,http://www.animal.go.kr/files/shelter/2022/07/202208011108886_s.jpg,2022-08-01,진접읍,[개] 푸들,흰색,2020(년생),5.2(Kg),경기-남양주-2022-00852,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011108886.jpg,종료(반환),M,Y,목줄없고 온순함.,남양주동물보호협회,031-591-7270,"경기도 남양주시 금곡로 44 (금곡동, 성원빌딩) 1층",경기도 남양주시,남양주시,031-590-3991
441399202201732,http://www.animal.go.kr/files/shelter/2022/07/202208011108467_s.jpg,2022-08-01,오남읍,[개] 푸들,갈색,2020(년생),4.5(Kg),경기-남양주-2022-00851,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011108467.jpg,종료(입양),F,U,목줄없고 온순함.,남양주동물보호협회,031-591-7270,"경기도 남양주시 금곡로 44 (금곡동, 성원빌딩) 1층",경기도 남양주시,남양주시,031-590-3991
441399202201731,http://www.animal.go.kr/files/shelter/2022/07/202208011008749_s.jpg,2022-08-01,해밀예당로,[고양이] 한국 고양이,흑갈줄무늬,2022(년생),1.6(Kg),경기-남양주-2022-00850,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011008749.jpg,보호중,M,N,"어린 고양이, 교통사고로 양쪽 대퇴골 골절",남양주동물보호협회,031-591-7270,"경기도 남양주시 금곡로 44 (금곡동, 성원빌딩) 1층",경기도 남양주시,남양주시,031-590-3991
441399202201730,http://www.animal.go.kr/files/shelter/2022/07/202208011008171_s.jpg,2022-08-01,양진로,[고양이] 한국 고양이,황백,2022(년생),0.4(Kg),경기-남양주-2022-00849,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011008171.jpg,종료(자연사),F,N,어린 고양이 빈사 상태,남양주동물보호협회,031-591-7270,"경기도 남양주시 금곡로 44 (금곡동, 성원빌딩) 1층",경기도 남양주시,남양주시,031-590-3991
441394202201525,http://www.animal.go.kr/files/shelter/2022/07/202208011408510_s.jpg,2022-08-01,화전동 522 부근,[개] 믹스견,흰색,2021(년생),15(Kg),경기-고양-2022-00558,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011408510.jpg,보호중,M,N,녹색목줄착용,고양시동물보호센터,031-962-3232,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",경기도 고양시,조재현(유기동물보호),031-8075-4657
441394202201524,http://www.animal.go.kr/files/shelter/2022/07/20220801140877_s[1].jpg,2022-08-01,화전동 522 부근,[개] 믹스견,"검정,갈색,황색",2021(년생),12(Kg),경기-고양-2022-00557,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/20220801140877.jpg,보호중,M,N,"녹색 목줄,쇠사슬 리드줄 착용",고양시동물보호센터,031-962-3232,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",경기도 고양시,조재현(유기동물보호),031-8075-4657
441394202201523,http://www.animal.go.kr/files/shelter/2022/07/202208011408563_s.jpg,2022-08-01,관산동599-10,[개] 말티즈,흰색,2020(년생),4.7(Kg),경기-고양-2022-00556,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011408563.jpg,종료(반환),M,N,팬던트가 있는 쇠사슬 목줄 착용,고양시동물보호센터,031-962-3232,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",경기도 고양시,조재현(유기동물보호),031-8075-4657
441394202201522,http://www.animal.go.kr/files/shelter/2022/07/202208011308125_s.jpg,2022-08-01,사리현동644-6 부근,[개] 믹스견,흰색,2022(년생),1.1(Kg),경기-고양-2022-00555,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011308125.jpg,보호중,F,N,강아지,고양시동물보호센터,031-962-3232,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",경기도 고양시,조재현(유기동물보호),031-8075-4657
441394202201521,http://www.animal.go.kr/files/shelter/2022/07/20220801130824_s.jpg,2022-08-01,사리현동644-6 부근,[개] 믹스견,흰색,2022(년생),1.44(Kg),경기-고양-2022-00554,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/20220801130824.jpg,보호중,F,N,강아지,고양시동물보호센터,031-962-3232,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",경기도 고양시,조재현(유기동물보호),031-8075-4657
441394202201520,http://www.animal.go.kr/files/shelter/2022/07/20220801130853_s.jpg,2022-08-01,사리현동644-6 부근,[개] 믹스견,사리현동644-6 부근,2022(년생),1.22(Kg),경기-고양-2022-00553,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/20220801130853.jpg,보호중,F,N,강아지,고양시동물보호센터,031-962-3232,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",경기도 고양시,조재현(유기동물보호),031-8075-4657
441394202201519,http://www.animal.go.kr/files/shelter/2022/07/202208011308320_s.jpg,2022-08-01,사리현동 644-6부근,[개] 믹스견,"황색,검정",2022(년생),1.34(Kg),경기-고양-2022-00552,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011308320.jpg,보호중,M,N,강아지,고양시동물보호센터,031-962-3232,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",경기도 고양시,조재현(유기동물보호),031-8075-4657
441394202201518,http://www.animal.go.kr/files/shelter/2022/07/202208011308669_s.jpg,2022-08-01,문봉동 232-23,[개] 믹스견,"황색,검정",2021(년생),10(Kg),경기-고양-2022-00551,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011308669.jpg,종료(입양),M,N,빨간목줄착용,고양시동물보호센터,031-962-3232,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",경기도 고양시,조재현(유기동물보호),031-8075-4657
441393202201479,http://www.animal.go.kr/files/shelter/2022/07/202208021708128_s.jpg,2022-08-01,신길동 592-2 부근,[고양이] 믹스묘,흰색,2022(년생),4.7(Kg),경기-안산-2022-00766,2022-08-01,2022-08-16,http://www.animal.go.kr/files/shelter/2022/07/202208021708128.jpg,보호중,Q,U,전체적으로 깨끗하고 통통함,스타캣츠,031-410-3777,경기도 안산시 단원구 한양대학로 208 (고잔동) 2층 스타캣츠,경기도 안산시,안산시 농업정책과,031-481-2494
441393202201478,http://www.animal.go.kr/files/shelter/2022/07/202208021208688[1]_s.jpg,2022-08-01,대부남동3-528부근,[개] 푸들,백,2021(년생),3(Kg),경기-안산-2022-00765,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208021208688[1].jpg,종료(입양),M,N,순함,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5,경기도 안산시,안산시 농업정책과,031-481-2494
441393202201477,http://www.animal.go.kr/files/shelter/2022/07/202208011208947_s.jpg,2022-08-01,본오동 861 부근,[개] 말티즈,백,2021(년생),4(Kg),경기-안산-2022-00764,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011208947.jpg,보호중,M,Y,"노란색옷(당근그림),겁이많음",한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5,경기도 안산시,안산시 농업정책과,031-481-2494
441393202201476,http://www.animal.go.kr/files/shelter/2022/07/202208011208977_s.jpg,2022-08-01,건건동 635-13 부근,[고양이] 한국 고양이,올블랙,2022(년생),0.11(Kg),경기-안산-2022-00763,2022-08-01,2022-08-16,http://www.animal.go.kr/files/shelter/2022/07/202208011208977.jpg,종료(자연사),Q,N,머리부터 등부위에 파리알 감염. 많이 말랐음. 수유가 필요한 젖먹이,스타캣츠,031-410-3777,경기도 안산시 단원구 한양대학로 208 (고잔동) 2층 스타캣츠,경기도 안산시,안산시 농업정책과,031-481-2494
441391202201756,http://www.animal.go.kr/files/shelter/2022/07/202208011708741_s.jpg,2022-08-01,송탄동 : 가재동 414-1,[고양이] 믹스묘,고등어,2022(년생),0.4(Kg),경기-평택-2022-00991,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011708741.jpg,종료(입양),M,N,"페르시아 믹스 , 귀엽고 사랑스러움, 50일 추정",평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86 (진위면),경기도 평택시,평택시,031-8024-3808
441391202201755,http://www.animal.go.kr/files/shelter/2022/07/202208011708496_s.jpg,2022-08-01,송탄동 : 가재동 414-1,[고양이] 믹스묘,고등어,2022(년생),0.45(Kg),경기-평택-2022-00990,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011708496.jpg,종료(입양),M,N,"페르시아 믹스 , 귀엽고 사랑스러움, 50일 추정",평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86 (진위면),경기도 평택시,평택시,031-8024-3808
441391202201754,http://www.animal.go.kr/files/shelter/2022/07/202208011608267_s.jpg,2022-08-01,송탄동 : 가재동 414-1,[고양이] 믹스묘,고등어,2022(년생),0.4(Kg),경기-평택-2022-00989,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011608267.jpg,종료(입양),F,N,"페르시아 믹스 , 귀엽고 사랑스러움, 50일 추정",평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86 (진위면),경기도 평택시,평택시,031-8024-3808
441391202201753,http://www.animal.go.kr/files/shelter/2022/07/202208011608137_s.jpg,2022-08-01,서정동 : 서정로 40-23,[기타축종],검정,2022(년생),0.8(Kg),경기-평택-2022-00988,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011608137.jpg,종료(입양),M,N,"닭, 튼튼해 보임",평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86 (진위면),경기도 평택시,평택시,031-8024-3808
441391202201752,http://www.animal.go.kr/files/shelter/2022/07/202208011608384_s.jpg,2022-08-01,청북읍 : 청북 중앙로 692-21,[고양이] 한국 고양이,삼색,2020(년생),3(Kg),경기-평택-2022-00987,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011608384.jpg,보호중,F,U,기립불능,평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86 (진위면),경기도 평택시,평택시,031-8024-3808
441391202201751,http://www.animal.go.kr/files/shelter/2022/07/202208011608391_s.jpg,2022-08-01,안중읍 : 안중읍 금곡리 우림아파트 107동 8층,[고양이] 한국 고양이,흰/주황,2021(년생),2(Kg),경기-평택-2022-00986,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011608391.jpg,보호중,F,U,사람을 좋아하고 눈에 상처가 조금 있음,평택시유기동물보호소,031-8024-3849,경기도 평택시 진위면 야막길 108-86 (진위면),경기도 평택시,평택시,031-8024-3808
441390202200518,http://www.animal.go.kr/files/shelter/2022/07/202208021308655_s.jpg,2022-08-01,광명시청에서 인수,[개] 믹스견,갈백,2019(년생),5(Kg),경기-광명-2022-00136,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208021308655.jpg,종료(반환),M,U,빨간하네스,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) 한국야생동물보호협회,경기도 광명시,김진호,02-2680-2329
441390202200517,http://www.animal.go.kr/files/shelter/2022/07/202208011408134_s.jpg,2022-08-01,금하로472부근,[개] 시바,갈백,2019(년생),10(Kg),경기-광명-2022-00135,2022-08-01,2022-08-16,http://www.animal.go.kr/files/shelter/2022/07/202208011408134.jpg,종료(반환),M,Y,"빨간목줄,털갈이중",한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동) 한국야생동물보호협회,경기도 광명시,김진호,02-2680-2329
441386202200590,http://www.animal.go.kr/files/shelter/2022/07/202208011908729_s.jpg,2022-08-01,원미동 73-1,[개] 불독,흰갈,2018(년생),20(Kg),경기-부천-2022-00492,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011908729.jpg,종료(반환),F,U,"순함, 우측 눈가 상처",가나동물병원,032-665-0075,경기도 부천시 경인로 72 (송내동),경기도 부천시,부천시,032-625-2803
441386202200589,http://www.animal.go.kr/files/shelter/2022/07/202208081608899_s.jpg,2022-08-01,수도로 338-1,[고양이] 한국 고양이,"흰색, 노랑색",2022(년생),0.7(Kg),경기-부천-2022-00491,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208081608899.jpg,종료(입양),M,N,"3개월 추정, 마름, 허피스, 순함, 호기심 많음",24시아이동물메디컬,032-677-5262,경기도 부천시 오정구 원종동 229-8,경기도 부천시,부천시,032-625-2803
441386202200588,http://www.animal.go.kr/files/shelter/2022/07/202208011608718_s.jpg,2022-08-01,원미동 39-1,[개] 푸들,갈색,2019(년생),4(Kg),경기-부천-2022-00490,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011608718.jpg,종료(반환),F,U,순함.내장칩 확인.보호자 연락함.,가야동물병원,032-655-3500,경기도 부천시 부천로 69 (심곡동) 가야동물병원,경기도 부천시,부천시,032-625-2803
441386202200587,http://www.animal.go.kr/files/shelter/2022/07/202208011108219_s.jpg,2022-08-01,부일로 519,[개] 포메라니안,갈색,2014(년생),4.7(Kg),경기-부천-2022-00489,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011108219.jpg,종료(반환),M,Y,"겁많음, 눈물자국",24시아이동물메디컬,032-677-5262,경기도 부천시 오정구 원종동 229-8,경기도 부천시,부천시,032-625-2803
441383202200444,http://www.animal.go.kr/files/shelter/2022/07/202208021208877_s.jpg,2022-08-01,안양시청에서 인수,[고양이] 한국 고양이,갈백,2021(년생),2(Kg),경기-안양-2022-00185,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208021208877.jpg,보호중,M,U,순함,한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동),경기도 안양시,안양시,031-8045-2605
441383202200443,http://www.animal.go.kr/files/shelter/2022/07/202208021208900_s.jpg,2022-08-01,안양시청에서 인수,[개] 포메라니안,갈백흑,2019(년생),3(Kg),경기-안양-2022-00184,2022-08-01,2022-08-10,http://www.animal.go.kr/files/shelter/2022/07/202208021208900.jpg,종료(반환),F,U,"빨간하네스,순함",한국야생동물보호협회,031-296-0124,경기도 안산시 상록구 청곡길 50 (부곡동),경기도 안양시,안양시,031-8045-2605
441378202201623,http://www.animal.go.kr/files/shelter/2022/07/202208011008441_s.jpg,2022-08-01,산성대로 595,[개] 포메라니안,황갈색,2021(년생),5.32(Kg),경기-성남-2022-00525,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011008441.jpg,종료(반환),M,Y,1살 추정 순함,펫토피아동물병원,031-714-8392,"경기도 성남시 분당구 불정로 266 (수내동, 유신제일조합)",경기도 성남시,성남시청 동물보호팀,031-729-3287
441374202200768,http://www.animal.go.kr/files/shelter/2022/07/202208011708689_s.jpg,2022-08-01,권선구 매송고색로 853,[개] 라브라도 리트리버,연갈색,2015(년생),32(Kg),경기-수원-2022-00487,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011708689.jpg,종료(반환),F,U,내장칩 있음,수원시 동물보호센터,031-228-3557,"경기도 수원시 영통구 광교호수로 234 (하동, 수원시 동물보호센터) 하동 40-10",경기도 수원시,수원시,031-228-3162
431372202200377,http://www.animal.go.kr/files/shelter/2022/07/202208011708353_s.jpg,2022-08-01,북구 화봉동 탑마트사거리,[고양이] 한국 고양이,턱시도,2022(년생),0.38(Kg),울산-북구-2022-00198,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011708353.jpg,종료(입양),F,N,사람 손을 탔음,정철동물병원,052-287-0348,울산광역시 북구 진장17길 11 (진장동) 정철동물병원,울산광역시 북구,구리라,052-241-8085
430368202200331,http://www.animal.go.kr/files/shelter/2022/07/202208011308765_s.jpg,2022-08-01,장동 산림욕장,[개] 믹스견,황색,2018(년생),5(Kg),대전-대덕-2022-00184,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011308765.jpg,보호중,M,U,,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 대덕구,대덕구,042-608-6951
430366202200240,http://www.animal.go.kr/files/shelter/2022/07/202208011708991_s.jpg,2022-08-01,대전 서구 만년동 653 부근,[개] 치와와,백색,2018(년생),3(Kg),대전-서구-2022-00241,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011708991.png,종료(입양),F,U,,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 서구,서구,042-288-2480
430366202200239,http://www.animal.go.kr/files/shelter/2022/07/20220801170897_s.jpg,2022-08-01,대전 서구 정림동 5-73 부근,[개] 믹스견,"흑,백",2022(년생),2(Kg),대전-서구-2022-00240,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/20220801170897.png,보호중,F,U,,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전광역시 서구,서구,042-288-2480
429363202200455,http://www.animal.go.kr/files/shelter/2022/07/202208011808549_s.jpg,2022-08-01,광산구 신가119,[고양이] 한국 고양이,"검,노,흰",2022(년생),0.4(Kg),광주-광산-2022-00454,2022-08-01,2022-08-11,http://www.animal.go.kr/files/shelter/2022/07/202208011808549.jpg,종료(자연사),F,N,22-7825 허피스,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주공역시 동물보호소,광주광역시 광산구,광산구,062-571-2808
